Gene,Description
Dock1,Dedicator of cytokinesis protein 1 OS=Mus musculus OX=10090 GN=Dock1 PE=1 SV=3
Dock10,Dedicator of cytokinesis protein 10 OS=Mus musculus OX=10090 GN=Dock10 PE=1 SV=3
Dock11,Dedicator of cytokinesis protein 11 OS=Mus musculus GN=Dock11 PE=1 SV=1
Dock2,Dedicator of cytokinesis protein 2 OS=Mus musculus OX=10090 GN=Dock2 PE=1 SV=3
Dock3,Dedicator of cytokinesis protein 3 OS=Mus musculus GN=Dock3 PE=1 SV=1
Dock4,Dedicator of cytokinesis protein 4 OS=Mus musculus GN=Dock4 PE=1 SV=1
Dock5,Dedicator of cytokinesis protein 5 OS=Mus musculus OX=10090 GN=Dock5 PE=1 SV=2
Dock6,Dedicator of cytokinesis protein 6 OS=Mus musculus GN=Dock6 PE=1 SV=4
Dock7,Dedicator of cytokinesis protein 7 OS=Mus musculus GN=Dock7 PE=1 SV=3
Dock8,Dedicator of cytokinesis protein 8 OS=Mus musculus OX=10090 GN=Dock8 PE=1 SV=4
Dock9,Dedicator of cytokinesis protein 9 OS=Mus musculus GN=Dock9 PE=1 SV=2
Dok1,Docking protein 1 OS=Mus musculus GN=Dok1 PE=1 SV=2
Dok4,Docking protein 4 OS=Mus musculus OX=10090 GN=Dok4 PE=1 SV=1
Dok5,Docking protein 5 OS=Mus musculus OX=10090 GN=Dok5 PE=1 SV=1
Dok6,Docking protein 6 OS=Mus musculus OX=10090 GN=Dok6 PE=1 SV=1
Dok7,Protein Dok-7 OS=Mus musculus OX=10090 GN=Dok7 PE=1 SV=1
Dolk,Dolichol kinase OS=Mus musculus OX=10090 GN=Dolk PE=1 SV=1
Dolpp1,Dolichyldiphosphatase 1 OS=Mus musculus OX=10090 GN=Dolpp1 PE=2 SV=1
Dop1a,Protein dopey-1 OS=Mus musculus OX=10090 GN=Dop1a PE=1 SV=2
Dop1b,Protein dopey-2 OS=Mus musculus OX=10090 GN=Dop1b PE=1 SV=3
Dopey2,Protein dopey-2 OS=Mus musculus GN=Dopey2 PE=2 SV=2
Dpagt1,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase OS=Mus musculus OX=10090 GN=Dpagt1 PE=1 SV=2
Dpcd,Protein DPCD OS=Mus musculus OX=10090 GN=Dpcd PE=1 SV=1
Dpep1,Dipeptidase 1 OS=Mus musculus OX=10090 GN=Dpep1 PE=1 SV=2
Dph1,2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 OS=Mus musculus OX=10090 GN=Dph1 PE=1 SV=1
Dph2,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 OS=Mus musculus OX=10090 GN=Dph2 PE=1 SV=1
Dph5,Diphthine methyl ester synthase OS=Mus musculus OX=10090 GN=Dph5 PE=1 SV=2
Dph6,Diphthine--ammonia ligase OS=Mus musculus OX=10090 GN=Dph6 PE=1 SV=1
Dph7,Diphthine methyltransferase OS=Mus musculus OX=10090 GN=Dph7 PE=2 SV=1
Dpm1,Dolichol-phosphate mannosyltransferase OS=Mus musculus GN=Dpm1 PE=2 SV=1
Dpm3,Dolichol-phosphate mannosyltransferase subunit 3 OS=Mus musculus GN=Dpm3 PE=1 SV=1
Dpp10,Inactive dipeptidyl peptidase 10 OS=Mus musculus GN=Dpp10 PE=1 SV=1
Dpp3,Dipeptidyl peptidase 3 OS=Mus musculus GN=Dpp3 PE=1 SV=2
Dpp4,Dipeptidyl peptidase 4 OS=Mus musculus OX=10090 GN=Dpp4 PE=1 SV=3
Dpp6,Dipeptidyl aminopeptidase-like protein 6 OS=Mus musculus GN=Dpp6 PE=1 SV=1
Dpp7,Dipeptidyl peptidase 2 OS=Mus musculus OX=10090 GN=Dpp7 PE=1 SV=2
Dpp8,Dipeptidyl peptidase 8 OS=Mus musculus OX=10090 GN=Dpp8 PE=1 SV=1
Dpp9,Dipeptidyl peptidase 9 OS=Mus musculus GN=Dpp9 PE=2 SV=2
Dpy19l1,Probable C-mannosyltransferase DPY19L1 OS=Mus musculus GN=Dpy19l1 PE=1 SV=1
Dpy19l3,Probable C-mannosyltransferase DPY19L3 OS=Mus musculus OX=10090 GN=Dpy19l3 PE=2 SV=2
Dpy19l4,Probable C-mannosyltransferase DPY19L4 OS=Mus musculus OX=10090 GN=Dpy19l4 PE=2 SV=1
Dpy30,Protein dpy-30 homolog OS=Mus musculus OX=10090 GN=Dpy30 PE=1 SV=1
Dpyd,Dihydropyrimidine dehydrogenase [NADP(+)] OS=Mus musculus OX=10090 GN=Dpyd PE=1 SV=1
Dpysl2,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2
Dpysl3,Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2;Dihydropyrimidinase-related protein 1 OS=Mus musculus OX=10090 GN=Crmp1 PE=1 SV=1;Dihydropyrimidinase-related protein 3 OS=Mus musculus OX=10090 GN=Dpysl3 PE=1 SV=1
Dpysl4,Dihydropyrimidinase-related protein 4 OS=Mus musculus GN=Dpysl4 PE=1 SV=1
Dpysl5,Dihydropyrimidinase-related protein 5 OS=Mus musculus GN=Dpysl5 PE=1 SV=1
Dr1,Protein Dr1 OS=Mus musculus OX=10090 GN=Dr1 PE=1 SV=1
Drap1,Dr1-associated corepressor OS=Mus musculus OX=10090 GN=Drap1 PE=1 SV=3
Drd1,D(1A) dopamine receptor OS=Mus musculus OX=10090 GN=Drd1 PE=1 SV=2
Drd2,D(2) dopamine receptor OS=Mus musculus OX=10090 GN=Drd2 PE=1 SV=2
Drg1,Developmentally-regulated GTP-binding protein 1 OS=Mus musculus GN=Drg1 PE=1 SV=1
Drg2,Developmentally-regulated GTP-binding protein 2 OS=Mus musculus GN=Drg2 PE=1 SV=1
Drosha,Ribonuclease 3 OS=Mus musculus OX=10090 GN=Drosha PE=1 SV=1
Drp2,Dystrophin-related protein 2 OS=Mus musculus OX=10090 GN=Drp2 PE=1 SV=1
Dscam,Down syndrome cell adhesion molecule homolog OS=Mus musculus OX=10090 GN=Dscam PE=1 SV=1
Dscaml1,Down syndrome cell adhesion molecule-like protein 1 homolog OS=Mus musculus OX=10090 GN=Dscaml1 PE=1 SV=2
Dscr3,Down syndrome critical region protein 3 homolog OS=Mus musculus GN=Dscr3 PE=1 SV=1
Dsg1a,Desmoglein-1-alpha OS=Mus musculus GN=Dsg1a PE=2 SV=2
Dsg1b,Desmoglein-1-beta OS=Mus musculus GN=Dsg1b PE=1 SV=1
Dsg1c,Desmoglein-1-gamma OS=Mus musculus OX=10090 GN=Dsg1c PE=1 SV=1
Dsg4,Desmoglein-4 OS=Mus musculus OX=10090 GN=Dsg4 PE=1 SV=1
Dsp,Desmoplakin OS=Mus musculus GN=Dsp PE=1 SV=1
Dst,Dystonin OS=Mus musculus GN=Dst PE=1 SV=1
Dstn,Destrin OS=Mus musculus GN=Dstn PE=1 SV=3
Dstyk,Dual serine/threonine and tyrosine protein kinase OS=Mus musculus OX=10090 GN=Dstyk PE=1 SV=1
Dtd1,D-aminoacyl-tRNA deacylase 1 OS=Mus musculus OX=10090 GN=Dtd1 PE=1 SV=2
Dtd2,D-aminoacyl-tRNA deacylase 2 OS=Mus musculus OX=10090 GN=Dtd2 PE=1 SV=1
Dtna,Dystrobrevin alpha OS=Mus musculus GN=Dtna PE=1 SV=1
Dtnb,Dystrobrevin beta OS=Mus musculus GN=Dtnb PE=1 SV=3
Dtnbp1,Dysbindin OS=Mus musculus OX=10090 GN=Dtnbp1 PE=1 SV=1
Dtx1,E3 ubiquitin-protein ligase DTX1 OS=Mus musculus OX=10090 GN=Dtx1 PE=1 SV=2
Dtx2,Probable E3 ubiquitin-protein ligase DTX2 OS=Mus musculus OX=10090 GN=Dtx2 PE=1 SV=2
Dtx3,Probable E3 ubiquitin-protein ligase DTX3 OS=Mus musculus OX=10090 GN=Dtx3 PE=1 SV=2
Dtx3l,E3 ubiquitin-protein ligase DTX3L OS=Mus musculus OX=10090 GN=Dtx3l PE=1 SV=1
Dtx4,E3 ubiquitin-protein ligase DTX4 OS=Mus musculus OX=10090 GN=Dtx4 PE=1 SV=2
Dtymk,Thymidylate kinase OS=Mus musculus GN=Dtymk PE=1 SV=2
Dus3l,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like OS=Mus musculus GN=Dus3l PE=1 SV=1
Dusp10,Dual specificity protein phosphatase 10 OS=Mus musculus GN=Dusp10 PE=2 SV=2
Dusp12,Dual specificity protein phosphatase 12 OS=Mus musculus OX=10090 GN=Dusp12 PE=2 SV=1
Dusp14,Dual specificity protein phosphatase 14 OS=Mus musculus OX=10090 GN=Dusp14 PE=2 SV=2
Dusp15,Dual specificity protein phosphatase 15 OS=Mus musculus OX=10090 GN=Dusp15 PE=1 SV=3
Dusp19,Dual specificity protein phosphatase 19 OS=Mus musculus OX=10090 GN=Dusp19 PE=2 SV=1
Dusp23,Dual specificity protein phosphatase 23 OS=Mus musculus OX=10090 GN=Dusp23 PE=1 SV=1
Dusp28,Dual specificity phosphatase 28 OS=Mus musculus OX=10090 GN=Dusp28 PE=1 SV=1
Dusp3,Dual specificity protein phosphatase 3 OS=Mus musculus GN=Dusp3 PE=1 SV=1
Dvl1,Segment polarity protein dishevelled homolog DVL-1 OS=Mus musculus GN=Dvl1 PE=1 SV=1
Dvl2,Segment polarity protein dishevelled homolog DVL-2 OS=Mus musculus GN=Dvl2 PE=1 SV=1
Dvl3,Segment polarity protein dishevelled homolog DVL-3 OS=Mus musculus GN=Dvl3 PE=1 SV=2
Dxo,Decapping and exoribonuclease protein OS=Mus musculus OX=10090 GN=Dxo PE=1 SV=2
Dym,Dymeclin OS=Mus musculus OX=10090 GN=Dym PE=1 SV=1
Dync1h1,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2
Dync1i1,Cytoplasmic dynein 1 intermediate chain 1 OS=Mus musculus GN=Dync1i1 PE=1 SV=1
Dync1i2,Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus GN=Dync1i2 PE=1 SV=1
Dync1li1,Cytoplasmic dynein 1 light intermediate chain 1 OS=Mus musculus GN=Dync1li1 PE=1 SV=1
Dync1li2,Cytoplasmic dynein 1 light intermediate chain 2 OS=Mus musculus GN=Dync1li2 PE=1 SV=1
Dync2h1,Cytoplasmic dynein 2 heavy chain 1 OS=Mus musculus GN=Dync2h1 PE=1 SV=1
Dync2i1,Cytoplasmic dynein 2 intermediate chain 1 OS=Mus musculus OX=10090 GN=Dync2i1 PE=1 SV=1
Dync2i2,Cytoplasmic dynein 2 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync2i2 PE=1 SV=3
Dync2li1,Cytoplasmic dynein 2 light intermediate chain 1 OS=Mus musculus OX=10090 GN=Dync2li1 PE=1 SV=1
Dynll1,"Dynein light chain 1, cytoplasmic OS=Mus musculus GN=Dynll1 PE=1 SV=1"
Dynll2,"Dynein light chain 2, cytoplasmic OS=Mus musculus GN=Dynll2 PE=1 SV=1"
Dynlrb1,Dynein light chain roadblock-type 1 OS=Mus musculus GN=Dynlrb1 PE=1 SV=3
Dynlt1,Dynein light chain Tctex-type 1 OS=Mus musculus GN=Dynlt1 PE=1 SV=1
Dynlt3,Dynein light chain Tctex-type 3 OS=Mus musculus OX=10090 GN=Dynlt3 PE=1 SV=1
Dyrk1a,Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Mus musculus GN=Dyrk1a PE=1 SV=1
Dyrk1b,Dual specificity tyrosine-phosphorylation-regulated kinase 1B OS=Mus musculus OX=10090 GN=Dyrk1b PE=1 SV=3
Dyrk2,Dual specificity tyrosine-phosphorylation-regulated kinase 2 OS=Mus musculus OX=10090 GN=Dyrk2 PE=2 SV=1
Dysf,Dysferlin OS=Mus musculus OX=10090 GN=Dysf PE=1 SV=3
Dzank1,Double zinc ribbon and ankyrin repeat-containing protein 1 OS=Mus musculus GN=Dzank1 PE=1 SV=2
Dzip3,E3 ubiquitin-protein ligase DZIP3 OS=Mus musculus GN=Dzip3 PE=2 SV=2
E2f4,Transcription factor E2F4 OS=Mus musculus GN=E2f4 PE=2 SV=1
EEF1AKNMT,eEF1A lysine and N-terminal methyltransferase OS=Mus musculus OX=10090 GN=EEF1AKNMT PE=1 SV=1
Ears2,"Probable glutamate--tRNA ligase, mitochondrial OS=Mus musculus GN=Ears2 PE=1 SV=1"
Ebag9,Receptor-binding cancer antigen expressed on SiSo cells OS=Mus musculus OX=10090 GN=Ebag9 PE=1 SV=2
Ebna1bp2,Probable rRNA-processing protein EBP2 OS=Mus musculus OX=10090 GN=Ebna1bp2 PE=2 SV=1
Ebp,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Mus musculus OX=10090 GN=Ebp PE=1 SV=3"
Ebpl,Emopamil-binding protein-like OS=Mus musculus OX=10090 GN=Ebpl PE=2 SV=1
Ecd,Protein ecdysoneless homolog OS=Mus musculus OX=10090 GN=Ecd PE=1 SV=2
Ece1,Endothelin-converting enzyme 1 OS=Mus musculus OX=10090 GN=Ece1 PE=1 SV=1
Ece2,Endothelin-converting enzyme 2 OS=Mus musculus OX=10090 GN=Ece2 PE=1 SV=1
Ecel1,Endothelin-converting enzyme-like 1 OS=Mus musculus OX=10090 GN=Ecel1 PE=2 SV=2
Ech1,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Ech1 PE=1 SV=1"
Echdc1,Ethylmalonyl-CoA decarboxylase OS=Mus musculus GN=Echdc1 PE=1 SV=2
Echdc2,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Echdc2 PE=1 SV=2"
Echdc3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Mus musculus GN=Echdc3 PE=1 SV=1"
Echs1,"Enoyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Echs1 PE=1 SV=1"
Eci1,"Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus GN=Eci1 PE=1 SV=2"
Eci2,"Enoyl-CoA delta isomerase 2, mitochondrial OS=Mus musculus GN=Eci2 PE=1 SV=2"
Eci3,"Enoyl-CoA delta isomerase 3, peroxisomal OS=Mus musculus GN=Eci3 PE=1 SV=1"
Ecm1,Extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Ecm1 PE=1 SV=2
Ecm29,Proteasome-associated protein ECM29 homolog OS=Mus musculus GN=Ecm29 PE=1 SV=2
Ecpas,Proteasome adapter and scaffold protein ECM29 OS=Mus musculus OX=10090 GN=Ecpas PE=1 SV=3
Ecscr,Endothelial cell-specific chemotaxis regulator OS=Mus musculus OX=10090 GN=Ecscr PE=1 SV=2
Ecsit,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial OS=Mus musculus OX=10090 GN=Ecsit PE=1 SV=2"
Edc3,Enhancer of mRNA-decapping protein 3 OS=Mus musculus GN=Edc3 PE=1 SV=1
Edc4,Enhancer of mRNA-decapping protein 4 OS=Mus musculus GN=Edc4 PE=1 SV=2
Edem2,ER degradation-enhancing alpha-mannosidase-like protein 2 OS=Mus musculus OX=10090 GN=Edem2 PE=1 SV=1
Edem3,ER degradation-enhancing alpha-mannosidase-like protein 3 OS=Mus musculus OX=10090 GN=Edem3 PE=1 SV=2
Edf1,Endothelial differentiation-related factor 1 OS=Mus musculus OX=10090 GN=Edf1 PE=1 SV=1
Edil3,EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2
Ednrb,Endothelin receptor type B OS=Mus musculus OX=10090 GN=Ednrb PE=2 SV=1
Edrf1,Erythroid differentiation-related factor 1 OS=Mus musculus OX=10090 GN=Edrf1 PE=1 SV=1
Eea1,Early endosome antigen 1 OS=Mus musculus GN=Eea1 PE=1 SV=2
Eed,Polycomb protein EED OS=Mus musculus OX=10090 GN=Eed PE=1 SV=1
Eef1a1,Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3
Eef1a2,Elongation factor 1-alpha 1 OS=Mus musculus OX=10090 GN=Eef1a1 PE=1 SV=3;Elongation factor 1-alpha 2 OS=Mus musculus OX=10090 GN=Eef1a2 PE=1 SV=1
Eef1akmt1,EEF1A lysine methyltransferase 1 OS=Mus musculus OX=10090 GN=Eef1akmt1 PE=1 SV=1
Eef1akmt2,EEF1A lysine methyltransferase 2 OS=Mus musculus OX=10090 GN=Eef1akmt2 PE=1 SV=1
Eef1akmt4-Ece2,EEF1AKMT4-ECE2 readthrough transcript protein OS=Mus musculus OX=10090 GN=Eef1akmt4-Ece2 PE=1 SV=1
Eef1b,Elongation factor 1-beta OS=Mus musculus GN=Eef1b PE=1 SV=5
Eef1d,Elongation factor 1-delta OS=Mus musculus GN=Eef1d PE=1 SV=3
Eef1e1,Eukaryotic translation elongation factor 1 epsilon-1 OS=Mus musculus OX=10090 GN=Eef1e1 PE=1 SV=1
Eef1g,Elongation factor 1-gamma OS=Mus musculus GN=Eef1g PE=1 SV=3
Eef2,Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2
Eefsec,Selenocysteine-specific elongation factor OS=Mus musculus GN=Eefsec PE=1 SV=2
Eepd1,Endonuclease/exonuclease/phosphatase family domain-containing protein 1 OS=Mus musculus OX=10090 GN=Eepd1 PE=1 SV=1
Efcab14,EF-hand calcium-binding domain-containing protein 14 OS=Mus musculus OX=10090 GN=Efcab14 PE=2 SV=1
Efcab8,EF-hand calcium-binding domain-containing protein 8 OS=Mus musculus GN=Efcab8 PE=2 SV=1
Efemp1,EGF-containing fibulin-like extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Efemp1 PE=1 SV=1
Efhc1,EF-hand domain-containing protein 1 OS=Mus musculus GN=Efhc1 PE=1 SV=1
Efhd1,EF-hand domain-containing protein D1 OS=Mus musculus GN=Efhd1 PE=1 SV=1
Efhd2,EF-hand domain-containing protein D2 OS=Mus musculus GN=Efhd2 PE=1 SV=1
Efl1,Elongation factor-like GTPase 1 OS=Mus musculus GN=Efl1 PE=1 SV=1
Efna1,Ephrin-A1 OS=Mus musculus OX=10090 GN=Efna1 PE=1 SV=1
Efna3,Ephrin-A3 OS=Mus musculus OX=10090 GN=Efna3 PE=1 SV=4
Efna5,Ephrin-A5 OS=Mus musculus OX=10090 GN=Efna5 PE=1 SV=1
Efnb1,Ephrin-B1 OS=Mus musculus GN=Efnb1 PE=1 SV=1
Efnb2,Ephrin-B2 OS=Mus musculus GN=Efnb2 PE=1 SV=1
Efnb3,Ephrin-B3 OS=Mus musculus GN=Efnb3 PE=1 SV=1
Efr3a,Protein EFR3 homolog A OS=Mus musculus GN=Efr3a PE=1 SV=1
Efr3b,Protein EFR3 homolog B OS=Mus musculus GN=Efr3b PE=1 SV=2
Eftud2,116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus GN=Eftud2 PE=1 SV=1
Egfr,Epidermal growth factor receptor OS=Mus musculus GN=Egfr PE=1 SV=1
Egln1,Egl nine homolog 1 OS=Mus musculus GN=Egln1 PE=1 SV=2
Ehbp1,EH domain-binding protein 1 OS=Mus musculus GN=Ehbp1 PE=1 SV=3
Ehbp1l1,EH domain-binding protein 1-like protein 1 OS=Mus musculus OX=10090 GN=Ehbp1l1 PE=1 SV=1
Ehd1,EH domain-containing protein 1 OS=Mus musculus GN=Ehd1 PE=1 SV=1
Ehd2,EH domain-containing protein 2 OS=Mus musculus GN=Ehd2 PE=1 SV=1
Ehd3,EH domain-containing protein 3 OS=Mus musculus GN=Ehd3 PE=1 SV=2
Ehd4,EH domain-containing protein 4 OS=Mus musculus GN=Ehd4 PE=1 SV=1
Ehhadh,Peroxisomal bifunctional enzyme OS=Mus musculus OX=10090 GN=Ehhadh PE=1 SV=4
Ehmt1,Histone-lysine N-methyltransferase EHMT1 OS=Mus musculus OX=10090 GN=Ehmt1 PE=1 SV=2
Ei24,Etoposide-induced protein 2.4 OS=Mus musculus OX=10090 GN=Ei24 PE=1 SV=3
Eid2,EP300-interacting inhibitor of differentiation 2 OS=Mus musculus OX=10090 GN=Eid2 PE=1 SV=1
Eif1,Eukaryotic translation initiation factor 1 OS=Mus musculus GN=Eif1 PE=1 SV=2
Eif1a,Eukaryotic translation initiation factor 1A OS=Mus musculus GN=Eif1a PE=2 SV=3
Eif1ad,Probable RNA-binding protein EIF1AD OS=Mus musculus OX=10090 GN=Eif1ad PE=1 SV=2
Eif1ax,"Eukaryotic translation initiation factor 1A, X-chromosomal OS=Mus musculus GN=Eif1ax PE=2 SV=3"
Eif1ay,"Eukaryotic translation initiation factor 1A, X-chromosomal OS=Mus musculus GN=Eif1ay PE=2 SV=3"
Eif1b,Eukaryotic translation initiation factor 1b OS=Mus musculus GN=Eif1b PE=1 SV=2
Eif2a,Eukaryotic translation initiation factor 2A OS=Mus musculus GN=Eif2a PE=1 SV=2
Eif2ak2,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Mus musculus OX=10090 GN=Eif2ak2 PE=1 SV=2"
Eif2ak3,Eukaryotic translation initiation factor 2-alpha kinase 3 OS=Mus musculus OX=10090 GN=Eif2ak3 PE=1 SV=1
Eif2ak4,eIF-2-alpha kinase GCN2 OS=Mus musculus GN=Eif2ak4 PE=1 SV=2
Eif2b1,Translation initiation factor eIF-2B subunit alpha OS=Mus musculus GN=Eif2b1 PE=2 SV=1
Eif2b2,Translation initiation factor eIF-2B subunit beta OS=Mus musculus GN=Eif2b2 PE=1 SV=1
Eif2b4,Translation initiation factor eIF-2B subunit delta OS=Mus musculus GN=Eif2b4 PE=1 SV=2
Eif2b5,Translation initiation factor eIF-2B subunit epsilon OS=Mus musculus GN=Eif2b5 PE=1 SV=1
Eif2d,Eukaryotic translation initiation factor 2D OS=Mus musculus OX=10090 GN=Eif2d PE=1 SV=3
Eif2s1,Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus GN=Eif2s1 PE=1 SV=3
Eif2s2,Eukaryotic translation initiation factor 2 subunit 2 OS=Mus musculus GN=Eif2s2 PE=1 SV=1
Eif2s3x,"Eukaryotic translation initiation factor 2 subunit 3, X-linked OS=Mus musculus GN=Eif2s3x PE=1 SV=2"
Eif2s3y,"Eukaryotic translation initiation factor 2 subunit 3, Y-linked OS=Mus musculus OX=10090 GN=Eif2s3y PE=1 SV=2"
Eif3a,Eukaryotic translation initiation factor 3 subunit A OS=Mus musculus GN=Eif3a PE=1 SV=5
Eif3b,Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus GN=Eif3b PE=1 SV=1
Eif3c,Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus GN=Eif3c PE=1 SV=1
Eif3d,Eukaryotic translation initiation factor 3 subunit D OS=Mus musculus GN=Eif3d PE=1 SV=2
Eif3e,Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus GN=Eif3e PE=1 SV=1
Eif3f,Eukaryotic translation initiation factor 3 subunit F OS=Mus musculus GN=Eif3f PE=1 SV=1
Eif3g,Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus GN=Eif3g PE=1 SV=2
Eif3h,Eukaryotic translation initiation factor 3 subunit H OS=Mus musculus GN=Eif3h PE=1 SV=1
Eif3i,Eukaryotic translation initiation factor 3 subunit I OS=Mus musculus GN=Eif3i PE=1 SV=1
Eif3j1,Eukaryotic translation initiation factor 3 subunit J-A OS=Mus musculus GN=Eif3j1 PE=2 SV=1
Eif3j2,Eukaryotic translation initiation factor 3 subunit J-B OS=Mus musculus GN=Eif3j2 PE=1 SV=1
Eif3k,Eukaryotic translation initiation factor 3 subunit K OS=Mus musculus GN=Eif3k PE=1 SV=1
Eif3l,Eukaryotic translation initiation factor 3 subunit L OS=Mus musculus GN=Eif3l PE=1 SV=1
Eif3m,Eukaryotic translation initiation factor 3 subunit M OS=Mus musculus GN=Eif3m PE=1 SV=1
Eif4a1,Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1
Eif4a2,Eukaryotic initiation factor 4A-II OS=Mus musculus GN=Eif4a2 PE=1 SV=2
Eif4a3,Eukaryotic initiation factor 4A-III OS=Mus musculus GN=Eif4a3 PE=1 SV=3
Eif4b,Eukaryotic translation initiation factor 4B OS=Mus musculus GN=Eif4b PE=1 SV=1
Eif4e,Eukaryotic translation initiation factor 4E OS=Mus musculus GN=Eif4e PE=1 SV=1
Eif4e2,Eukaryotic translation initiation factor 4E type 2 OS=Mus musculus OX=10090 GN=Eif4e2 PE=1 SV=1
Eif4e3,Eukaryotic translation initiation factor 4E type 3 OS=Mus musculus OX=10090 GN=Eif4e3 PE=1 SV=1
Eif4ebp2,Eukaryotic translation initiation factor 4E-binding protein 2 OS=Mus musculus OX=10090 GN=Eif4ebp2 PE=1 SV=1
Eif4enif1,Eukaryotic translation initiation factor 4E transporter OS=Mus musculus OX=10090 GN=Eif4enif1 PE=1 SV=2
Eif4g1,Eukaryotic translation initiation factor 4 gamma 1 OS=Mus musculus GN=Eif4g1 PE=1 SV=1
Eif4g2,Eukaryotic translation initiation factor 4 gamma 2 OS=Mus musculus GN=Eif4g2 PE=1 SV=2
Eif4g3,Eukaryotic translation initiation factor 4 gamma 3 OS=Mus musculus GN=Eif4g3 PE=1 SV=2
Eif4h,Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3
Eif5,Eukaryotic translation initiation factor 5 OS=Mus musculus GN=Eif5 PE=1 SV=1
Eif5a,Eukaryotic translation initiation factor 5A-1 OS=Mus musculus GN=Eif5a PE=1 SV=2
Eif5a2,Eukaryotic translation initiation factor 5A-2 OS=Mus musculus GN=Eif5a2 PE=1 SV=3
Eif5b,Eukaryotic translation initiation factor 5B OS=Mus musculus GN=Eif5b PE=1 SV=2
Eif6,Eukaryotic translation initiation factor 6 OS=Mus musculus GN=Eif6 PE=1 SV=2
Eipr1,EARP and GARP complex-interacting protein 1 OS=Mus musculus OX=10090 GN=Eipr1 PE=1 SV=2
Elac1,Zinc phosphodiesterase ELAC protein 1 OS=Mus musculus OX=10090 GN=Elac1 PE=2 SV=1
Elac2,Zinc phosphodiesterase ELAC protein 2 OS=Mus musculus OX=10090 GN=Elac2 PE=1 SV=1
Elavl1,ELAV-like protein 1 OS=Mus musculus GN=Elavl1 PE=1 SV=2
Elavl2,ELAV-like protein 2 OS=Mus musculus GN=Elavl2 PE=2 SV=1
Elavl3,ELAV-like protein 3 OS=Mus musculus GN=Elavl3 PE=1 SV=1
Elavl4,ELAV-like protein 4 OS=Mus musculus GN=Elavl4 PE=1 SV=1
Elfn1,Extracellular leucine-rich repeat and fibronectin type-III domain-containing protein 1 OS=Mus musculus GN=Elfn1 PE=2 SV=1
Elfn2,Protein phosphatase 1 regulatory subunit 29 OS=Mus musculus GN=Elfn2 PE=1 SV=1
Elmo1,Engulfment and cell motility protein 1 OS=Mus musculus GN=Elmo1 PE=1 SV=2
Elmo2,Engulfment and cell motility protein 2 OS=Mus musculus GN=Elmo2 PE=1 SV=1
Elmo3,Engulfment and cell motility protein 3 OS=Mus musculus OX=10090 GN=Elmo3 PE=1 SV=2
Elmod1,ELMO domain-containing protein 1 OS=Mus musculus GN=Elmod1 PE=1 SV=2
Elmod2,ELMO domain-containing protein 2 OS=Mus musculus GN=Elmod2 PE=1 SV=1
Elmod3,ELMO domain-containing protein 3 OS=Mus musculus OX=10090 GN=Elmod3 PE=1 SV=1
Eloa,Elongin-A OS=Mus musculus OX=10090 GN=Eloa PE=1 SV=3
Elob,Elongin-B OS=Mus musculus GN=Elob PE=1 SV=1
Eloc,Elongin-C OS=Mus musculus GN=Eloc PE=1 SV=1
Elovl1,Elongation of very long chain fatty acids protein 1 OS=Mus musculus OX=10090 GN=Elovl1 PE=1 SV=1
